trade_id,symbol,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,outcome,holding_days,atr_at_entry,stop_price,profit_target,pnl,return_pct,window_test_start
1,XLE,Long,2023-01-27 14:30:00,2023-01-31 14:30:00,46.30500030517578,44.41999816894531,2159.0,Stop-loss triggered,2,0.9889283861432757,44.82160772596087,48.28285707746233,-4069.719612121582,-0.04070839269640969,2023-01-04 14:30:00
2,XLE,Long,2023-03-30 13:30:00,2023-04-04 13:30:00,41.290000915527344,42.505001068115234,2421.0,Timed out,3,1.2950003487723214,39.347500392368865,43.88000161307199,2941.515369415283,0.029426014183763005,2023-01-04 14:30:00
3,XLE,Long,2023-06-08 13:30:00,2023-06-21 13:30:00,41.119998931884766,39.02000045776367,2431.0,Stop-loss triggered,8,0.893214362008231,39.333570207868306,42.906427655901226,-5105.096290588379,-0.05107000312912802,2023-04-05 13:30:00
4,XLE,Long,2023-08-01 13:30:00,2023-08-23 13:30:00,43.564998626708984,43.310001373291016,2295.0,Timed out,16,0.7467866625104632,42.07142530168806,45.05857195172991,-585.2186965942383,-0.005853259760270846,2023-07-07 13:30:00
5,XLE,Long,2023-09-05 13:30:00,2023-09-27 13:30:00,45.625,45.51499938964844,2191.0,Timed out,16,0.732499531337193,44.16000093732561,47.08999906267439,-241.01133728027344,-0.002410972281678081,2023-07-07 13:30:00
6,XLE,Long,2024-04-01 13:30:00,2024-04-04 13:30:00,47.345001220703125,48.625,2112.0,Successful,3,0.5864279610770089,46.465359279087615,48.517857142857146,2703.357421875,0.027035563339201207,2024-01-05 14:30:00
7,XLE,Long,2025-05-13 13:30:00,2025-05-29 13:30:00,42.5,40.88999938964844,2352.0,Timed out,11,0.888571058000837,40.72285788399832,44.27714211600168,-3786.721435546875,-0.0378823673023897,2025-04-09 13:30:00
8,XLE,Long,2025-06-13 13:30:00,2025-06-25 13:30:00,44.10499954223633,42.404998779296875,2267.0,Stop-loss triggered,7,0.8025003160749163,42.4999989100865,45.71000017438616,-3853.9017295837402,-0.03854440042135088,2025-04-09 13:30:00
9,XLE,Long,2025-08-25 13:30:00,2025-09-10 13:30:00,43.959999084472656,43.88999938964844,2274.0,Timed out,11,0.6592862265450614,42.97106974465506,45.278571537562776,-159.17930603027344,-0.0015923497789367413,2025-07-11 13:30:00
10,XLE,Long,2025-09-29 13:30:00,2025-10-03 13:30:00,45.67499923706055,44.44499969482422,2189.0,Stop-loss triggered,4,0.776071275983538,44.51089232308524,47.22714178902762,-2692.4689979553223,-0.026929382874259833,2025-07-11 13:30:00
11,XLE,Long,2025-11-10 14:30:00,2025-12-03 14:30:00,44.8849983215332,45.375,2227.0,Timed out,16,0.7028568812779018,43.83071299961635,46.29071208408901,1091.2337379455566,0.0109168251484979,2025-10-09 13:30:00
12,XLE,Long,2025-12-04 14:30:00,2025-12-17 14:30:00,45.88999938964844,44.130001068115234,2179.0,Stop-loss triggered,9,0.8753566741943359,44.576964378356934,47.64071273803711,-3835.0363426208496,-0.03835254619615902,2025-10-09 13:30:00
13,XLE,Long,2026-01-05 14:30:00,2026-01-07 14:30:00,47.15999984741211,45.81999969482422,2120.0,Stop-loss triggered,2,0.7457139151436942,46.041428974696565,48.651427677699495,-2840.800323486328,-0.028413913420769932,2025-10-09 13:30:00
14,XLE,Long,2026-02-10 14:30:00,2026-03-02 14:30:00,53.77000045776367,57.77000045776367,1859.0,Successful,13,1.0607141767229353,51.6485721043178,55.89142881120954,7436.0,0.07439092367391731,2026-01-09 14:30:00
15,XLE,Long,2026-03-03 14:30:00,2026-03-25 13:30:00,57.38999938964844,60.31999969482422,1742.0,Successful,16,1.282858167375837,54.82428305489676,59.955715724400115,5104.060531616211,0.05105419648609155,2026-01-09 14:30:00
16,XLE,Long,2026-03-27 13:30:00,2026-04-02 13:30:00,61.529998779296875,60.529998779296875,1625.0,Stop-loss triggered,4,1.220714841570173,59.088569096156526,63.971428462437224,-1625.0,-0.01625223500469941,2026-01-09 14:30:00
